doc_id,origin_path,format,extracted_path,lang,words,char_count,timestamp
doc_91,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\29050809.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_91.txt,en,1201,9078,2026-02-24T22:23:25.078000
doc_92,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\29456173.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_92.txt,en,686,5167,2026-02-24T22:23:25.555125
doc_93,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\29821051.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_93.txt,en,1067,8251,2026-02-24T22:23:26.498754
doc_94,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\29999135.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_94.txt,en,1413,10436,2026-02-24T22:23:27.401440
doc_95,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\30304575.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_95.txt,en,1046,8067,2026-02-24T22:23:28.350996
doc_96,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\30361788.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_96.txt,en,292,2228,2026-02-24T22:23:28.578223
doc_97,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\30813919.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_97.txt,en,836,6455,2026-02-24T22:23:29.223825
doc_98,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\31602598.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_98.txt,en,700,5157,2026-02-24T22:23:30.008264
doc_99,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\33527446.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_99.txt,en,808,6168,2026-02-24T22:23:30.540423
doc_100,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\34198885.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_100.txt,en,686,5298,2026-02-24T22:23:31.074211
doc_101,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\34816637.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_101.txt,en,710,5137,2026-02-24T22:23:31.782201
doc_102,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\35554162.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_102.txt,en,678,5173,2026-02-24T22:23:32.295354
doc_103,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\36024962.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_103.txt,en,233,1850,2026-02-24T22:23:32.490829
doc_104,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\36425270.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_104.txt,en,656,4874,2026-02-24T22:23:32.958999
doc_105,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\37370455.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_105.txt,en,735,5578,2026-02-24T22:23:33.766610
doc_106,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\37997506.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_106.txt,en,1022,7828,2026-02-24T22:23:34.423941
